Wavelength (nm),Absorbance (AU),Std.Dev.
190,-0.729730606079102,1.37273428385194
191,0.521923542022705,0.750488122407677
192,-0.323983192443848,0.638489676802071
193,0.227965354919434,0.362250722480301
194,0.217535972595215,0.449278189002406
195,-0.131685256958008,0.325861800593346
196,0.265390396118164,0.616680468155663
197,0.001983642578125,1.27767221503111
198,0.0969099998474121,0.670123990101366
199,-0.172210693359375,0.351383417930449
200,0.383774757385254,0.31502277594681
201,0.447690486907959,0.22203002671637
202,0.0831589698791504,0.175365719800514
203,0.0902867317199707,0.195082872827185
204,-0.479451179504395,0.212769640221073
205,0.393011569976807,0.269092146849539
206,-0.0808482170104981,0.282866178866411
207,0.247798919677734,0.629233707451969
208,0.27147912979126,1.30077538474654
209,0.83806324005127,0.649718707914481
210,0.0920290946960449,0.50225322376392
211,0.264801025390625,0.577861003913355
212,0.642754554748535,0.324306981593901
213,-0.191330432891846,0.347864667162614
214,0.501131534576416,0.32316399403556
215,0.144599914550781,0.253988868769843
216,-0.0991482734680176,0.327572311688222
217,0.289018630981445,0.300051112589198
218,0.306910037994385,0.373164453002125
219,0.618046283721924,0.362419172023225
220,0.228453636169434,0.36810059341843
221,0.339393615722656,0.569777145991088
222,0.693246841430664,0.731752298104523
223,0.0294132232666016,0.84842095402835
224,-0.297420501708984,0.633860532613199
225,0.729750156402588,0.519413755511021
226,-0.126392841339111,0.877942179589935
227,-0.0790314674377441,0.425709569654374
228,-0.0130181312561035,0.132909402838148
229,0.126138687133789,0.176649872083534
230,0.182416439056396,0.283001005460753
231,0.158406257629395,0.502177266347191
232,0.818407535552979,0.448538887711046
233,-0.163622379302979,0.524049315949248
234,0.293151378631592,0.329754371550463
235,-0.064572811126709,0.467021552885276
236,0.852508068084717,0.814694302570372
237,0.486002445220947,0.404112843079017
238,0.0246963500976562,0.208536684609987
239,0.623363018035889,0.353380714934333
240,0.495041370391846,0.429030036781736
241,1.11981296539307,0.670624745165376
242,-0.0651493072509766,0.248584555042865
243,0.529358386993408,0.211578525403949
244,0.366058826446533,0.18518158944489
245,0.086181640625,0.154876778137492
246,0.386315822601318,0.187189480829983
247,0.19187068939209,0.257494180854302
248,0.666932106018066,0.169837667712506
249,0.34597635269165,0.169027143296272
250,0.660347938537598,0.146764055920895
251,0.494317531585693,0.197941293355465
252,0.647508144378662,0.172337689539578
253,0.361998081207275,0.117565308946457
254,0.398257255554199,0.150694700710628
255,0.586565017700195,0.14013586808322
256,0.539288997650147,0.079985774682823
257,0.524191379547119,0.0576978216226152
258,0.535622596740723,0.100526662601515
259,0.551318168640137,0.0718288107360676
260,0.501062393188477,0.0639946555051868
261,0.669332981109619,0.0458490633703512
262,0.558068752288818,0.0399227779756613
263,0.633378505706787,0.0456353622583644
264,0.645031452178955,0.0463610126140552
265,0.622962474822998,0.0490157527903678
266,0.621771335601807,0.0323833926601001
267,0.588968753814697,0.0214322932735055
268,0.595762729644775,0.0203513580722023
269,0.570333957672119,0.0123538533643308
270,0.568450450897217,0.00936546635663627
271,0.554746150970459,0.00805502210601009
272,0.560371398925781,0.00904536073493584
273,0.563385963439941,0.00815658993944353
274,0.548438549041748,0.00790587886497093
275,0.547719955444336,0.00486073270149883
276,0.536829471588135,0.00467646412336507
277,0.523440361022949,0.00312086069623889
278,0.524816036224365,0.00239587284484016
279,0.508520603179932,0.00185953873426327
280,0.502519607543945,0.00213655741778164
281,0.492401123046875,0.00153056379191571
282,0.486916065216064,0.00113216204713613
283,0.482222557067871,0.00152557369994507
284,0.476991176605225,0.00100606809691208
285,0.470382213592529,0.000814828622600769
286,0.467962265014648,0.00079215382879693
287,0.463611602783203,0.00105291172932867
288,0.461607456207275,0.00110631482229403
289,0.46288013458252,0.00107720458609773
290,0.463494777679443,0.00073648359670949
291,0.463376045227051,0.000586149058296387
292,0.464532852172852,0.000757042026147822
293,0.466166973114014,0.000457676243380325
294,0.468125820159912,0.000514673209815667
295,0.471765518188477,0.000584458431430913
296,0.474626064300537,0.000721956023348821
297,0.477283000946045,0.000762920379400248
